title,content,publish_time,source,url,symbol,query,search_time
寒武纪：选举陈天石为公司第三届董事会董事长,寒武纪688256.SH)公告称，公司于2025年11月28日召开第三届董事会第一次会议，同意选举陈天石先生为公司第三届董事会董事长,2025-11-28 18:09:27,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577869539.html,SH688256,688256 最新消息,2025-11-14 14:00:00
寒武纪：陈天石继任董事长兼总经理,寒武纪（688256）发布公告，公司2025年11月27日召开2025年第一次临时股东大会，审议并通过了换届选举非独立董事及独立董事的议案,2025-11-28 18:51:57,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577893854.html,SH688256,688256 最新消息,2025-11-14 14:00:00
科创板平均股价39.44元，8股股价超300元,简称最新收盘价（元）今日涨跌（%）换手率（%）行业688256寒武纪-U1331.001.041.40,2025-11-28 17:59:36,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577862818.html,SH688256,688256 最新消息,2025-11-14 14:00:00
三季度国内消费级AI/AR市场销量同比激增186%，消费电子ETF(561600)涨超1.1%,数(931494)前十大权重股分别为立讯精密(002475)、寒武纪688256、,2025-11-28 13:28:16,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577650644.html,SH688256,688256 最新消息,2025-11-14 14:00:00
深沪北百元股数量达153只，电子行业占比最高,联影医疗133.100.760.00医药生物688123聚辰股份132.731.760.02电子688188柏楚电子132.470.650.00,2025-11-28 18:00:10,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577864919.html,SH688271,688271 最新消息,2025-11-14 14:00:00
科创板平均股价39.44元，8股股价超300元,联影医疗133.100.760.31医药生物688123聚辰股份132.731.762.47电子688188柏楚电子132.470.650.31,2025-11-28 17:59:36,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577862818.html,SH688271,688271 最新消息,2025-11-14 14:00:00
深沪北百元股数量达149只，科创板股票占43.62%,8702盛科通信132.20-0.590.02电子688271联影医疗132.100.150.00,2025-11-27 17:54:10,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576711068.html,SH688271,688271 最新消息,2025-11-14 14:00:00
科创板百元股达65只，寒武纪-U股价最高,联影医疗132.100.150.42医药生物688188柏楚电子131.61-0.300.31计算机688047龙芯中科130.77,2025-11-27 16:46:15,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576644989.html,SH688271,688271 最新消息,2025-11-14 14:00:00
深沪北百元股数量达146只，电子行业占比最高,联影医疗131.90-1.340.00医药生物688047龙芯中科131.660.870.01电子301413安培龙130.881.329.59,2025-11-26 16:52:15,AKShare-东方财富,http://finance.eastmoney.com/a/202511263575450766.html,SH688271,688271 最新消息,2025-11-14 14:00:00
深沪北百元股数量达153只，电子行业占比最高,龙芯中科132.251.130.01电子688318财富趋势130.111.030.01计算机688110东芯股份130.00,2025-11-28 18:00:10,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577864919.html,SH688047,688047 最新消息,2025-11-14 14:00:00
科创板平均股价39.44元，8股股价超300元,龙芯中科132.251.130.56电子688318财富趋势130.111.030.65计算机688110东芯股份130.00,2025-11-28 17:59:36,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577862818.html,SH688047,688047 最新消息,2025-11-14 14:00:00
