title,content,publish_time,source,url,symbol,query,search_time
科创板百元股达65只，寒武纪-U股价最高,é¾è¯ä¸­ç§130.77-0.680.78çµå­688123èè¾°è¡ä»½130.44-1.522.35çµå­688120åæµ·æ¸,2025-11-27 16:46:15,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576644989.html,SH688047,688047 最新消息,2025-11-14 14:00:00
力积存储IPO前国资离场，应伟控股44.6%,力积存储IPO前国资离场，应伟控股44.6%,2026-01-16 21:18:00,AKShare-东方财富,https://cj.sina.cn/articles/view/2587691232/9a3d08e002001l7i2,SH688047,688047 最新消息,2025-11-28 10:30:00
龙芯中科：股东北工投资减持106.18万股,龙芯中科：股东北工投资减持106.18万股,2026-01-16 20:18:00,AKShare-东方财富,https://finance.sina.com.cn/7x24/2026-01-16/doc-inhhpfkr5388153.shtml,SH688047,688047 最新消息,2025-11-28 10:30:00
经销占比远超同业，累亏28亿的兆芯集成畸高无形资产价值成疑,经销占比远超同业，累亏28亿的兆芯集成畸高无形资产价值成疑,2026-01-16 11:49:00,AKShare-东方财富,https://finance.sina.com.cn/stock/zqgd/2026-01-16/doc-inhhnkez5666479.shtml,SH688047,688047 最新消息,2025-11-28 10:30:00
龙芯中科新设子公司，含集成电路芯片业务,龙芯中科新设子公司，含集成电路芯片业务,2026-01-16 11:29:00,AKShare-东方财富,https://finance.sina.com.cn/jjxw/2026-01-16/doc-inhhnket6942027.shtml,SH688047,688047 最新消息,2025-11-28 10:30:00
深沪北百元股数量达153只，电子行业占比最高,金山办公311.31-0.230.01计算机688072拓荆科技303.304.590.02电子688411海博思创302.90,2025-11-28 18:00:10,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577864919.html,SH688111,688111 最新消息,2025-11-14 14:00:00
能源局组织开展“人工智能+”能源试点工作，AI人工智能ETF(512930)涨近1%,230)、海康威视(002415)、豪威集团(603501)、金山办公688111、,2025-11-28 13:22:46,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577651014.html,SH688111,688111 最新消息,2025-11-14 14:00:00
科创板平均股价39.44元，8股股价超300元,457.881.933.49通信688506百利天恒379.49-1.430.94医药生物688502茂莱光学345.941.653.35电子688111,2025-11-28 17:59:36,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577862818.html,SH688111,688111 最新消息,2025-11-14 14:00:00
深沪北百元股数量达149只，科创板股票占43.62%,金山办公312.02-2.330.01计算机688411海博思创308.274.690.12电力设备688072拓荆科技290.00,2025-11-27 17:54:10,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576711068.html,SH688111,688111 最新消息,2025-11-14 14:00:00
26股获杠杆资金净买入超亿元,金山办公0.1415576.65239902.461.62计算机601888中国中免0.8215545.59526002.143.35,2025-11-27 09:35:49,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576330391.html,SH688111,688111 最新消息,2025-11-14 14:00:00
科创创业人工智能 ETF 易方达（159140）昨日吸金超6800万,科创创业人工智能 ETF 易方达（159140）昨日吸金超6800万,2026-01-16 16:25:00,AKShare-东方财富,https://t.cj.sina.cn/articles/view/7651844612/1c815e20400101td4c,SH688111,688111 最新消息,2025-11-28 10:30:00
国产大模型数学能力全球第二，人工智能AIETF（515070）持仓股星宸科技大涨超9%,国产大模型数学能力全球第二，人工智能AIETF（515070）持仓股星宸科技大涨超9%,2026-01-16 09:57:00,AKShare-东方财富,https://finance.sina.com.cn/stock/t/2026-01-16/doc-inhhncwv7004597.shtml,SH688111,688111 最新消息,2025-11-28 10:30:00
融资客大幅净买入的科创板股（附股）,融资客大幅净买入的科创板股（附股）,2026-01-16 09:26:00,AKShare-东方财富,https://finance.sina.com.cn/stock/relnews/cn/2026-01-16/doc-inhhncxc5687891.shtml,SH688111,688111 最新消息,2025-11-28 10:30:00
“硬科技”与“软智能”双轮驱动 基金如何成为“AI导航仪”？,“硬科技”与“软智能”双轮驱动 基金如何成为“AI导航仪”？,2026-01-16 09:26:00,AKShare-东方财富,https://finance.sina.com.cn/roll/2026-01-16/doc-inhhncxc5692627.shtml,SH688111,688111 最新消息,2025-11-28 10:30:00
君实生物拟使用不超24亿元暂时闲置募集资金进行现金管理,北京商报讯11月27日晚间，君实生物（688180）发布公告称，公司计划使用最高不超过24亿元（包含本数）的暂时闲置募集资金进行现金管理,2025-11-27 20:18:43,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576800851.html,SH688180,688180 最新消息,2025-11-14 14:00:00
君实生物JS001sc一线治疗非鳞状非小细胞肺癌的Ⅲ期临床研究达到主要研究终点,北京商报讯（记者丁宁）11月24日晚间，君实生物（688180）发布公告称，公司产品特瑞普利单抗注射液（皮下注射）（代号,2025-11-24 21:24:00,AKShare-东方财富,http://finance.eastmoney.com/a/202511243573230319.html,SH688180,688180 最新消息,2025-11-14 14:00:00
直击国谈第二日：抗癌与慢病药物成主角 礼来、诺和诺德、君实等谈判胶着博弈升温,君实生物-U（688180.SH）的昂戈瑞西单抗注射液、奥赛康（002755.SZ）的利厄替尼片均位列今日谈判清单，成为国产创新药冲刺医保准入的重要代表,2025-10-31 15:19:26,AKShare-东方财富,http://finance.eastmoney.com/a/202510313551869955.html,SH688180,688180 最新消息,2025-11-14 14:00:00
荣昌生物频获跨国巨头追捧,荣昌生物频获跨国巨头追捧,2026-01-14 07:00:00,AKShare-东方财富,https://finance.sina.com.cn/roll/2026-01-14/doc-inhhfmmf4303983.shtml,SH688180,688180 最新消息,2025-11-28 10:30:00
